# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_stop_gained	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
AC007998.2	ENSG00000267140	ENST00000589258	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
AC007998.5	ENSG00000279074	ENST00000622938	TEC	0	0	0	1	0	0	0	0	0	0	0	1
AC011676.5	ENSG00000280035	ENST00000624864	TEC	0	0	0	1	0	1	0	0	0	0	0	0
AC013451.1	ENSG00000258425	ENST00000554552		0	0	0	1	0	0	0	0	0	0	0	1
AC020558.6	ENSG00000286430	ENST00000671231		0	0	0	1	0	1	0	0	0	0	0	0
ANP32E	ENSG00000143401	ENST00000369114	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
ANP32E	ENSG00000143401	ENST00000369115	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
ANP32E	ENSG00000143401	ENST00000436748	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
ANP32E	ENSG00000143401	ENST00000532744	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
ANP32E	ENSG00000143401	ENST00000533654	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
ANP32E	ENSG00000143401	ENST00000534220	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
ANP32E	ENSG00000143401	ENST00000583931	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
ANP32E	ENSG00000143401	ENST00000616917	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
ANP32E	ENSG00000143401	ENST00000629042	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
HDAC4	ENSG00000068024	ENST00000345617	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
HDAC4	ENSG00000068024	ENST00000446876	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
HDAC4	ENSG00000068024	ENST00000463007	retained_intron	0	0	0	1	0	0	1	0	0	0	0	0
HDAC4	ENSG00000068024	ENST00000493582	retained_intron	0	0	0	1	0	0	1	0	0	0	0	0
HDAC4	ENSG00000068024	ENST00000535493	retained_intron	0	0	0	1	0	0	1	0	0	0	0	0
HDAC4	ENSG00000068024	ENST00000543185	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
HDAC4	ENSG00000068024	ENST00000544989	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
INO80C	ENSG00000153391	ENST00000283410	retained_intron	0	0	0	1	0	0	1	0	0	0	0	0
INO80C	ENSG00000153391	ENST00000334598	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
INO80C	ENSG00000153391	ENST00000441607	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
INO80C	ENSG00000153391	ENST00000585971	retained_intron	0	0	0	1	0	1	0	0	0	0	0	0
INO80C	ENSG00000153391	ENST00000586449	nonsense_mediated_decay	0	0	0	1	0	0	1	0	0	0	0	0
INO80C	ENSG00000153391	ENST00000586489	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
INO80C	ENSG00000153391	ENST00000587450	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
INO80C	ENSG00000153391	ENST00000589273	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
INO80C	ENSG00000153391	ENST00000590757	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
INO80C	ENSG00000153391	ENST00000591139	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
INO80C	ENSG00000153391	ENST00000592173	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
LTBP2	ENSG00000119681	ENST00000261978	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
LTBP2	ENSG00000119681	ENST00000553939	nonsense_mediated_decay	0	0	0	1	0	0	1	0	0	0	0	0
LTBP2	ENSG00000119681	ENST00000556690	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
LTBP2	ENSG00000119681	ENST00000557425	processed_transcript	0	0	0	1	0	0	1	0	0	0	0	0
MEFV	ENSG00000103313	ENST00000219596	protein_coding	1	5	2	29	6	3	20	2	0	1	5	0
MEFV	ENSG00000103313	ENST00000339854	protein_coding	0	5	2	30	6	3	21	2	0	0	5	0
MEFV	ENSG00000103313	ENST00000536379	protein_coding	0	5	2	30	0	9	21	2	0	0	5	0
MEFV	ENSG00000103313	ENST00000536980	nonsense_mediated_decay	0	0	0	46	9	3	21	0	13	0	0	0
MEFV	ENSG00000103313	ENST00000537682	nonsense_mediated_decay	0	0	0	46	9	3	20	0	14	0	0	0
MEFV	ENSG00000103313	ENST00000538326	nonsense_mediated_decay	0	0	0	49	12	3	20	0	14	0	0	0
MEFV	ENSG00000103313	ENST00000539145	nonsense_mediated_decay	0	0	0	43	6	9	22	0	6	0	0	0
MEFV	ENSG00000103313	ENST00000539154	retained_intron	0	0	0	29	0	18	1	0	5	0	0	5
MEFV	ENSG00000103313	ENST00000541159	protein_coding	0	4	2	31	2	9	20	2	0	0	4	0
MEFV	ENSG00000103313	ENST00000542898	nonsense_mediated_decay	0	0	0	46	9	3	20	0	14	0	0	0
MEFV	ENSG00000103313	ENST00000570511	nonsense_mediated_decay	0	0	0	43	6	9	21	0	7	0	0	0
MEFV	ENSG00000103313	ENST00000572244	nonsense_mediated_decay	0	0	0	40	3	9	25	0	3	0	0	0
MEFV	ENSG00000103313	ENST00000574583	nonsense_mediated_decay	0	0	0	43	6	9	22	0	6	0	0	0
MEFV	ENSG00000103313	ENST00000576315	nonsense_mediated_decay	0	0	0	43	6	9	22	0	6	0	0	0
PACSIN2	ENSG00000100266	ENST00000263246	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
PACSIN2	ENSG00000100266	ENST00000337959	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
PACSIN2	ENSG00000100266	ENST00000402229	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
PACSIN2	ENSG00000100266	ENST00000403744	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
PACSIN2	ENSG00000100266	ENST00000407585	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
PACSIN2	ENSG00000100266	ENST00000418133	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
PACSIN2	ENSG00000100266	ENST00000422336	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
PACSIN2	ENSG00000100266	ENST00000445706	processed_transcript	0	0	0	1	0	0	1	0	0	0	0	0
PACSIN2	ENSG00000100266	ENST00000453079	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
PACSIN2	ENSG00000100266	ENST00000453643	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
PEMT	ENSG00000133027	ENST00000255389	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
PEMT	ENSG00000133027	ENST00000395781	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
PEMT	ENSG00000133027	ENST00000395782	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
PEMT	ENSG00000133027	ENST00000395783	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
PEMT	ENSG00000133027	ENST00000421096	processed_transcript	0	0	0	1	0	0	1	0	0	0	0	0
PEMT	ENSG00000133027	ENST00000435340	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
PEMT	ENSG00000133027	ENST00000461404	nonsense_mediated_decay	0	0	0	1	0	0	1	0	0	0	0	0
PEMT	ENSG00000133027	ENST00000472446	processed_transcript	0	0	0	1	0	0	1	0	0	0	0	0
PEMT	ENSG00000133027	ENST00000484838	processed_transcript	0	0	0	1	0	0	1	0	0	0	0	0
PEMT	ENSG00000133027	ENST00000490392	processed_transcript	0	0	0	1	0	0	1	0	0	0	0	0
PEMT	ENSG00000133027	ENST00000580147	nonsense_mediated_decay	0	0	0	1	0	0	1	0	0	0	0	0
RNU2-17P	ENSG00000222222	ENST00000410290	snRNA	0	0	0	1	0	1	0	0	0	0	0	0
SLC45A4	ENSG00000022567	ENST00000024061	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
SLC45A4	ENSG00000022567	ENST00000517878	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
SLC45A4	ENSG00000022567	ENST00000519067	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
SLC45A4	ENSG00000022567	ENST00000519986	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
SLC45A4	ENSG00000022567	ENST00000520137	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
ZNF200	ENSG00000010539	ENST00000575617	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
ZNF200	ENSG00000010539	ENST00000577015	retained_intron	0	0	0	1	0	0	0	0	0	0	0	1
